brand,category,name,img,price,event
CU,라면,매운까르보볶이,http://cdn2.bgfretail.com/bgfbrand/files/product/CD54EAA9A32349AD93D7B9A9C234FA2A.jpg,1500,
CU,라면,매콤볶음우동,http://cdn2.bgfretail.com/bgfbrand/files/product/6A09F1BF0D36400AAEEF1F39EA74FB0E.jpg,2900,
CU,라면,밥말라계란콩나물,http://cdn2.bgfretail.com/bgfbrand/files/product/84E1D167BCC748B2ADF4C593040108FE.jpg,2000,
CU,라면,밥말라부대찌개라면,http://cdn2.bgfretail.com/bgfbrand/files/product/13C9079F0B164B2EAB98285EFF0E113C.jpg,1800,
CU,라면,밥말라육개장칼국수,http://cdn2.bgfretail.com/bgfbrand/files/product/D1BB5B1C71C540ABA446A634DD35B66C.jpg,1700,
CU,라면,생생바지락칼국수,http://cdn2.bgfretail.com/bgfbrand/files/product/F515B4C4950643E8B71BE12396980D28.jpg,3000,
CU,라면,속초홍게라면,http://cdn2.bgfretail.com/bgfbrand/files/product/0C9902443CD84B519717C80CFF63CC15.jpg,1400,
CU,라면,임실치즈라면,http://cdn2.bgfretail.com/bgfbrand/files/product/B568EC6D06A3453CADB77BA8159AB1DF.jpg,1400,
CU,라면,짬뽕밥,http://cdn2.bgfretail.com/bgfbrand/files/product/F0BE9816770F49128968A77715AE1E22.jpg,3700,
CU,라면,청양고추라면,http://cdn2.bgfretail.com/bgfbrand/files/product/81D4F330BF864A61948C262E32300474.jpg,1400,
CU,라면,치즈맛라면,http://cdn2.bgfretail.com/bgfbrand/files/product/67410A3677F34DAEB3CEA0BE177D49C9.jpg,1000,
CU,라면,콘치즈그라탕,http://cdn2.bgfretail.com/bgfbrand/files/product/FE28B0753E8F4FF7A3034202B6473E17.jpg,3500,
CU,라면,통영굴매생이라면,http://cdn2.bgfretail.com/bgfbrand/files/product/8F71E8DA97A24588A34F38B91316294A.jpg,1500,
CU,라면,해물된장라면,http://cdn2.bgfretail.com/bgfbrand/files/product/973CC2D1636046DBBC12D82FEF9971BC.jpg,1500,
7-eleven,라면,강릉교동반점짬뽕,http://www.7-eleven.co.kr/upload/product/8801073/210820.1.jpg,1500,
7-eleven,라면,김치쏭쏭칼국수,http://www.7-eleven.co.kr/upload/product/8801085/068679.1.jpg,1800,
7-eleven,라면,리얼사천생(生)짜장면,http://www.7-eleven.co.kr/upload/product/8801085/069652.1.jpg,1800,
7-eleven,라면,"체다,까망베르",http://www.7-eleven.co.kr/upload/product/8801045/573007.1.jpg,1400,
CU,라면,가쓰오우동곱빼기,http://cdn2.bgfretail.com/bgfbrand/files/product/55B9740FD54C4EC2969EAF003614766C.jpg,2200,
7-eleven,라면,고르곤졸라스파게티,http://www.7-eleven.co.kr/upload/product/8801118/000041.1.jpg,3500,
7-eleven,라면,새우토마토스파게티,http://www.7-eleven.co.kr/upload/product/8801118/795633.1.jpg,3500,
CU,라면,불타는짜장,http://cdn2.bgfretail.com/bgfbrand/files/product/C5D2BFD758914495914809EB15A55EFB.jpg,1400,
7-eleven,라면,안성탕면,http://www.7-eleven.co.kr/upload/product/8801043/014786.1.jpg,3750,할인행사
CU,라면,너구리큰사발,http://cdn2.bgfretail.com/bgfbrand/files/product/8801043017602.jpg,1600,2+1
CU,라면,새우탕큰사발,http://cdn2.bgfretail.com/bgfbrand/files/product/9F898789EAF5414E99CC7A224288433D.jpg,1150,2+1
CU,라면,오징어짬뽕큰사발,http://cdn2.bgfretail.com/bgfbrand/files/product/593589AA9113454F8DEEC4BF3549CC4B.jpg,1600,2+1
CU,라면,짜파게티큰사발,http://cdn2.bgfretail.com/bgfbrand/files/product/94131626EA4148F99EF342F40C88CB65.jpg,1150,2+1
CU,라면,카레라이스쌀면,http://cdn2.bgfretail.com/bgfbrand/files/product/1707CBCD79F448918ED5BBD93C1AD2D6.jpg,2500,2+1
CU,라면,튀김우동큰사발,http://cdn2.bgfretail.com/bgfbrand/files/product/44FAF3B0C23E4622A59281F6C4CF3D56.jpg,1150,2+1
GS25,라면,너구리큰사발,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043017602.jpg,1600,증정행사
GS25,라면,볶음너구리큰사발,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043038577_001.jpg,1600,2+1
GS25,라면,새우탕큰사발,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043015967_969.jpg,1150,2+1
GS25,라면,안성탕면,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043014731_732.jpg,750,증정행사
GS25,라면,오징어짬뽕큰사발,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043016117_118.jpg,1600,증정행사
GS25,라면,짜파게티큰사발,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043016049_050.jpg,1150,2+1
GS25,라면,참치마요,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801043038911_001.jpg,1600,2+1
